Language,Tagalog,Wolof,Baure,Isthmus Zapotec,Somali,Kikuyu; Gikuyu,Croatian,Bakhtiari,Choctaw,Marathi,Nepal Bhasa; Newari,Amharic,Tamil,Bavarian,Võro,Abkhazian,Alviri-Vidari,Cebuano,Nganasan,Telugu,Aragonese,Central Kurdish,Swiss German; Alemannic; Alsatian,Luo (Kenya and Tanzania),Finnish,Bodo (India),Uighur; Uyghur,Papiamento,Rohingya,Gaelic; Scottish Gaelic,Malayalam,Thai,Walloon,Gujarati,Kis,Nanai,Chamicuro,Scots,French,Uab Meto,uranik kathava,Pedi; Sepedi; Northern Sotho,Achinese,Lithuanian,Dogrib,Kashmiri,Urdu,Ama (Papua New Guinea),Banjar,Masai,Catalan; Valencian,Votic,Tonga (Tonga Islands),Hakka Chinese,Nauru,Bashkir,Ingush,Cheyenne,Bulgarian,Erzya,Central Melanau,Prussian,Krio,Waray,Welsh,Ewe,Moroccan Arabic,Kildin Sami,Tuvinian,Tok Pisin,San Blas Kuna,"Low German; Low Saxon; German, Low; Saxon, Low",Ganda,Manx,Tuvalu,Chinese,purank kania,Lule Sami,pauranik varta,Cornish,Wu Chinese,Czech,Ket,Sranan Tongo,Iloko,Shona,Tahitian,Bengali,Western Frisian,Western Apache,Komi-Permyak,Northern Frisian,Potawatomi,Mazanderani,Hebrew,Pitcairn-Norfolk,"Greek, Ancient (to 1453)",Northern Sami,Tachelhit,"Sotho, Southern",Chamorro,Macedonian,Rapanui,Ladin,Koryak,Gheg Albanian,Dolgan,pouraniko kahani,Fijian,Eshtehardi,Minangkabau,Swedish,Archi,Gallurese Sardinian,Kabyle,Gagauz,Karachay-Balkar,Pali,Georgian,Slovak,Navajo; Navaho,Kalo Finnish Romani,Standard Malay,Venda,Russian,puranik kahania,Latgalian,Sichuan Yi; Nuosu,onjomnosk,pouranik kahini,Nogai,Moksha,Dongxiang,Hungarian,Algonquin,Classical Syriac,Bau Bidayuh,Hopi,Albanian,Kannada,Kara-Kalpak,Nenets,Central Atlas Tamazight,Laz,Esperanto,Pennsylvania German,Central Khmer,Lombard,Romansh,Chechen,pauranik akhyayika,Malay (macrolanguage),Gan Chinese,Mandarin Chinese,pauranikakathasamuhah,Danish,Kölsch,Vlaams,Silesian,Kalmyk; Oirat,Tatar,Lak,Divehi; Dhivehi; Maldivian,Shor,Dzongkha,Ingrian,Aleut,Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic,Unnamed: 168,Cherokee,Russia Buriat,Japanese,Tohono O'odham,khristpurb,Mandinka,Haitian; Haitian Creole,Tai Dam,Sundanese,Lezghian,Romagnol,Mócheno,Khakas,Turkmen,Ainu,Indonesian,Turkish,Fiji Hindi,Borôro,Basque,Sanskrit,Talysh,Coptic,puraniki,Burmese,Gilbertese,Manchu,Central Okinawan,Oriya,Standard Arabic,Khoekhoe,Kalaallisut; Greenlandic,Limburgan; Limburger; Limburgish,Wymysorys,Tigrinya,Western Abnaki,Neapolitan,!Xóõ,Mongolian,Ngarrindjeri,Pacific Gulf Yupik,Lower Sorbian,Abaza,Yakut,Hiligaynon,Persian,Ladino,Innu,Lakota,Dakota,German,Jamaican Creole English,Lao,Min Dong Chinese,Mirandese,Chichewa; Chewa; Nyanja,"Bokmål, Norwegian; Norwegian Bokmål",Hausa,Aguaruna,Ligurian,Irish,Maltese,pauranikakathe,Romanian,Tswana,Kinyarwanda,Mingrelian,Sinhala; Sinhalese,Meru,English,Sassarese Sardinian,Warlpiri,Kashubian,Kazakh,puranik kanyo,Venetian,Javanese,Northern Tiwa,Faroese,Galician,pauranika-kathe,Breton,Icelandic,Lushai,Alabama,Powhatan,Belarusian,Western Mari,pauranika kathe,Crimean Tatar; Crimean Turkish,Corsican,Lingala,Armenian,Evenki,Upper Sorbian,Veps,Guerrero Amuzgo,Dutch,Chuvash,Latin,Asturian; Bable; Leonese; Asturleonese,Seri,Hawaiian,Pangasinan,Polish,Inari Sami,Tetum,Adyghe; Adygei,Zulu,Chinook jargon,Buginese,Italian,Panjabi; Punjabi,Assamese,Pampanga; Kapampangan,Egyptian Arabic,Arpitan,Udmurt,Santali,Kirghiz; Kyrgyz,Kamba,Ukrainian,Slovenian,Kabardian,Kumyk,kristapurva,Nepali,Sindhi,Piemontese,Guadeloupean Creole French,Madurese,Extremaduran,Dungan,Pitjantjatjara,Manipuri,Central Yupik,Yue Chinese,Skolt Sami,Modern Greek (1453-),Avestan,Bambara,Bishnupriya,Friulian,pauraniki,Aromanian; Arumanian; Macedo-Romanian,Samogitian,Portuguese,Tibetan,Afrikaans,Miyako,Xhosa,Vietnamese,Northern Kurdish,Avaric,Sicilian,pouraniko kotha,Occitan (post 1500); Provençal,Tajik,Liv,Ossetian; Ossetic,Rusyn,pauranika,Balinese,Korean,Central Bikol,Samoan,"Norwegian Nynorsk; Nynorsk, Norwegian",Konkani,Saterfriesisch,Logudorese Sardinian,Eastern Mari,Yucateco,Luxembourgish; Letzeburgesch,Spanish; Castilian,Bislama,Karelian,Igbo,Mi'kmaq; Micmac,Southern Altai,Swati,Maori,Hindi,Western Panjabi,Pipil,Campidanese Sardinian,Udi,Yoruba
Nauru,5,3,0,0,1,1,5,0,0,0,0,1,1,2,1,0,0,3,0,2,3,0,0,2,2,3,0,4,1,3,1,0,0,3,0,0,0,2,7,0,0,0,1,3,0,3,5,0,0,0,6,1,0,0,0,1,0,0,4,0,0,0,0,1,3,2,0,0,0,3,0,1,0,1,0,0,0,0,0,2,0,8,0,1,2,0,1,4,5,0,0,0,0,0,1,3,0,1,0,0,1,5,0,0,0,0,0,0,0,0,0,5,0,0,0,1,2,1,2,4,1,0,4,0,5,0,0,0,0,0,0,1,0,4,0,0,0,0,4,2,0,0,0,0,5,1,0,1,2,1,0,2,0,0,0,4,1,0,1,0,3,0,0,0,0,0,0,1,2,1,0,3,0,0,0,4,0,0,0,0,0,0,2,0,2,5,1,0,4,1,0,0,0,0,1,0,0,3,1,0,0,4,0,0,0,2,0,2,0,0,3,0,2,1,0,0,0,0,0,3,0,0,0,1,0,5,0,0,3,5,5,0,4,1,0,0,1,2,10,0,0,2,4,0,1,1,0,5,4,0,2,5,0,0,0,4,0,0,3,3,2,1,0,2,0,0,4,2,5,4,0,1,0,3,0,3,0,2,0,0,8,8,3,1,0,2,1,0,3,2,4,4,0,0,0,2,1,2,0,0,1,0,0,0,0,0,0,2,0,2,0,3,0,2,0,11,0,6,0,1,4,3,0,6,0,5,5,1,3,0,0,0,0,2,1,2,3,0,0,2,0,3,5,0,0,0,0,0,2,2,3,0,0,0,0,1
Bashkir,88,13,0,0,30,1,140,0,0,45,5,12,30,19,25,33,0,49,0,42,72,20,22,0,110,43,82,57,5,35,41,41,35,80,1,2,1,44,139,1,0,16,1,99,1,52,93,0,3,1,112,4,9,0,1,10,4,0,171,39,4,3,0,23,60,8,2,14,71,15,0,49,11,38,11,3,0,0,0,43,0,108,1,2,27,4,8,62,68,0,32,33,0,2,29,5,21,22,0,22,25,135,1,22,0,0,13,0,11,1,0,122,3,1,18,70,109,1,83,123,6,1,112,0,187,0,11,0,0,0,56,43,0,117,1,1,0,1,117,46,62,12,1,2,131,9,20,41,65,65,0,97,2,12,0,126,16,19,12,36,213,17,12,33,0,1,1,19,3,2,36,97,0,0,0,53,0,29,55,0,0,85,208,1,122,225,4,0,91,15,1,7,0,14,5,2,1,57,85,1,12,54,1,9,1,30,0,70,0,0,47,7,128,11,47,5,1,0,0,136,13,6,0,8,1,129,40,0,34,66,78,0,122,19,5,4,11,2,146,1,0,31,283,0,51,55,2,61,99,0,64,82,0,2,0,155,19,0,132,49,26,76,35,46,29,0,135,90,92,90,1,27,2,115,1,19,15,32,0,3,122,72,42,16,15,13,45,0,238,0,176,139,16,139,0,54,8,29,1,0,15,1,0,30,1,3,6,90,0,12,0,58,0,41,38,168,3,92,1,23,41,78,51,86,0,96,133,11,93,37,0,0,46,5,29,70,63,38,3,76,1,80,128,10,3,8,0,82,1,27,79,13,0,6,7,45
Ingush,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,1,0,1,0,2,1,0,2,1,1,1,1,0,0,0,2,4,0,0,0,0,2,0,2,1,0,0,0,2,0,0,0,0,4,0,0,4,2,0,0,0,0,2,0,0,2,5,0,0,1,0,1,0,0,0,0,0,2,0,4,0,0,1,1,0,1,3,0,2,0,0,0,1,0,0,1,0,1,1,2,0,1,0,0,1,0,0,0,0,2,0,0,0,3,3,0,3,3,0,0,1,0,5,0,3,0,0,0,1,1,0,3,0,0,0,0,4,0,2,3,0,1,3,0,0,0,2,50,0,1,0,0,0,3,0,0,2,1,3,4,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,2,0,0,5,3,0,2,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,1,3,0,1,0,0,0,0,3,0,0,0,0,0,3,1,0,0,2,3,0,1,1,0,0,0,0,2,0,0,3,1,0,0,1,0,1,2,0,3,2,0,0,0,3,0,0,2,2,0,3,1,3,1,0,3,4,2,2,0,1,0,3,0,0,2,1,0,0,2,1,0,0,0,0,4,0,3,0,3,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,2,4,0,1,0,1,0,2,4,2,0,3,1,0,5,0,0,0,1,0,0,3,2,1,0,4,0,2,2,0,0,0,0,4,0,0,1,0,0,0,0,1
Cheyenne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bulgarian,390,17,1,1,63,8,4221,0,1,236,12,29,178,47,181,38,0,262,0,172,390,83,89,10,1461,186,37,251,10,361,225,366,149,580,1,2,4,150,2635,0,0,79,3,1439,0,276,377,0,1,1,2097,9,18,5,4,171,4,0,1170,147,7,19,2,102,573,29,7,23,67,67,1,113,27,330,14,27,0,0,0,281,0,2698,6,12,55,14,12,445,484,1,48,59,0,13,194,6,109,112,1,197,55,2445,4,38,0,1,1,0,18,0,2,2171,5,2,31,43,39,1,565,2997,14,1,1065,0,5867,0,47,1,0,0,38,149,0,1396,1,4,0,1,895,219,22,20,2,3,1851,11,59,222,252,109,0,1345,2,58,0,1979,94,45,28,55,129,28,22,9,0,3,1,175,10,2,47,1159,0,0,0,249,0,72,75,1,3,53,338,1,1584,1280,14,0,1523,101,2,13,0,39,8,5,1,406,309,5,38,206,7,15,1,117,2,559,0,0,306,7,198,38,198,15,1,6,1,2224,21,29,0,33,4,1900,51,0,128,586,623,0,2337,153,40,8,33,12,2584,4,1,234,741,0,158,150,6,433,1485,0,488,922,0,2,0,1863,29,0,160,261,154,555,47,256,58,0,2153,261,814,940,2,96,6,2726,7,29,20,108,3,2,2208,469,222,28,20,34,66,2,469,9,2835,3465,16,76,0,207,17,111,4,1,29,3,1,148,2,10,22,776,0,30,6,336,0,230,227,2860,3,935,3,96,409,437,58,399,0,772,397,25,321,77,0,2,429,13,169,1040,409,103,18,566,3,485,2390,23,15,14,0,45,3,196,424,21,0,22,11,147
Erzya,60,2,0,0,5,0,129,0,1,41,1,2,25,12,16,24,0,31,0,27,39,17,16,0,98,37,5,62,4,29,32,36,27,67,0,0,3,18,161,0,0,12,0,102,0,48,51,0,4,1,121,2,0,0,0,39,2,0,147,4,3,2,0,9,52,0,3,4,33,8,0,27,3,40,0,1,0,0,0,43,0,111,0,2,12,2,0,55,55,0,22,16,0,0,23,2,7,30,0,14,12,98,0,9,0,0,0,0,0,0,0,114,3,0,0,15,6,0,69,123,0,0,88,0,195,0,8,0,0,0,20,196,0,95,0,1,0,0,87,39,4,4,1,2,144,0,8,20,40,27,0,94,0,2,0,115,10,11,11,21,32,5,2,1,0,1,0,12,0,1,25,87,0,0,0,38,0,13,29,1,0,21,105,0,111,96,0,0,97,12,0,1,0,3,0,0,1,45,46,0,3,42,0,2,1,20,0,50,0,0,44,1,48,11,35,5,0,0,0,129,4,1,0,9,0,117,9,0,25,58,69,0,116,26,9,1,3,0,124,0,0,25,95,0,37,29,3,42,110,0,58,68,0,0,0,124,5,0,28,24,9,49,20,32,20,0,130,40,69,90,0,23,1,122,1,7,4,13,0,1,125,69,44,4,4,3,30,0,62,0,160,141,5,31,0,48,0,17,0,0,5,1,0,28,1,2,5,74,0,8,0,42,0,16,28,173,0,75,1,11,25,51,28,74,0,88,56,4,45,27,0,0,41,1,13,67,44,19,0,88,0,51,130,5,2,1,0,23,0,12,53,3,0,3,0,27
Central Melanau,11,0,0,0,2,0,5,0,0,7,0,1,3,0,3,1,0,8,0,5,4,1,0,0,9,4,0,5,1,4,5,7,3,8,0,0,0,3,9,1,0,2,1,6,0,6,6,0,4,0,5,1,2,0,0,4,0,0,7,3,0,1,0,1,6,0,1,0,1,1,0,4,1,2,3,0,0,0,0,6,0,7,3,1,3,0,1,6,7,0,1,1,0,0,3,0,1,3,0,1,0,4,2,0,0,0,0,0,1,0,3,6,0,0,0,1,1,1,4,8,0,0,20,0,7,0,1,0,0,0,2,1,0,5,0,0,4,0,6,6,0,0,0,0,6,0,3,1,4,1,0,19,0,0,0,9,3,2,2,2,3,1,1,0,0,0,0,1,0,0,2,7,0,0,0,4,0,4,1,0,0,1,4,0,23,5,0,0,3,3,0,0,0,1,1,1,0,4,7,3,0,5,0,1,0,2,0,1,0,0,4,0,3,2,6,0,0,1,0,8,0,4,0,0,0,11,1,0,1,6,5,0,5,2,1,0,3,0,13,0,0,2,3,0,4,10,0,4,4,0,6,7,0,0,0,4,0,0,6,3,0,3,1,3,3,0,9,2,5,4,0,6,4,7,0,2,1,0,1,0,5,3,7,3,1,0,2,0,3,0,6,7,0,2,0,5,0,2,1,0,0,0,0,3,0,0,0,2,1,0,0,4,0,2,2,10,0,4,0,0,1,3,3,6,0,3,4,2,2,2,0,1,4,0,2,6,4,1,0,4,0,4,6,0,3,1,0,2,0,3,11,1,0,0,1,0
Prussian,11,3,0,1,5,0,25,0,1,7,1,4,4,11,4,1,0,6,0,10,13,0,7,2,11,5,4,12,1,12,12,5,9,10,0,1,0,12,30,0,0,1,0,36,0,3,11,0,0,0,22,2,3,0,0,3,0,0,19,2,1,2,0,1,15,3,1,2,4,10,0,5,4,8,5,0,0,0,0,17,0,19,3,3,7,1,2,13,19,0,3,4,0,0,4,0,9,7,0,3,4,16,2,5,0,0,0,0,3,0,2,28,1,1,2,2,2,0,7,26,3,0,8,0,26,0,8,0,0,0,0,1,0,12,0,2,0,0,12,5,3,4,1,1,22,1,2,7,17,5,0,10,1,3,0,25,8,4,2,0,7,2,3,1,1,1,0,20,0,0,4,6,0,0,0,10,0,4,3,0,0,4,4,0,12,4,1,0,7,12,0,2,0,2,2,1,0,5,4,4,2,10,3,1,0,15,2,0,0,0,20,2,1,5,6,1,0,2,1,30,6,2,0,3,1,27,12,0,10,18,8,0,25,1,0,2,1,1,28,1,0,13,1,0,11,8,2,16,19,0,21,27,0,0,0,16,2,0,3,10,5,6,4,18,5,0,26,0,27,23,1,7,3,19,0,3,3,6,1,1,16,7,6,5,2,5,4,1,3,0,15,22,3,2,0,8,2,7,1,0,2,0,0,2,0,0,0,12,0,4,0,14,0,13,8,22,0,20,0,3,3,10,3,19,0,18,6,8,5,6,0,1,4,1,4,17,6,3,0,3,1,17,24,4,5,3,0,3,0,7,16,2,0,4,3,3
Krio,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,2,1,1,0,1,1,0,1,0,8,0,0,0,0,6,0,0,0,0,2,0,3,2,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,1,3,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,2,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,2,0,0,1,0,0,1,1,0,1,3,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,2,0,0,1,0,1,0,0,1,2,1,0,2,2,1,0,1,0,5,0,0,0,2,0,0,0,0,0,3,0,2,4,0,0,0,2,0,0,0,0,0,1,0,0,0,0,3,0,1,2,0,1,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,3,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,3,0,2,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,4,3,0,0,0,0,0,0,4,0,0,1,0,0
Waray,77,2,0,0,16,0,87,0,0,21,4,7,18,9,37,7,0,74,0,15,66,5,14,1,76,11,3,25,2,37,21,21,17,41,0,0,0,39,88,0,0,6,2,69,0,19,23,0,3,1,89,0,6,0,1,23,0,0,102,9,1,1,0,6,56,5,0,3,10,13,0,26,8,37,5,2,0,0,0,38,0,74,0,0,17,4,5,32,52,0,9,10,0,1,13,3,7,19,0,24,14,69,0,9,0,0,0,0,4,0,0,82,0,0,3,7,11,0,34,88,1,0,81,0,71,0,3,0,0,0,5,15,0,70,0,0,0,0,89,20,7,3,0,0,87,2,7,39,22,11,0,74,2,4,0,86,7,8,9,16,20,4,5,0,0,0,0,3,1,0,9,55,0,0,0,41,0,23,13,0,0,7,28,0,82,72,11,0,77,20,0,1,0,5,2,0,0,29,26,0,4,28,0,5,0,15,0,43,0,0,19,0,39,10,15,4,0,1,0,90,5,1,0,12,2,82,5,0,36,56,65,0,93,9,5,3,1,1,100,0,0,29,54,0,29,51,0,37,83,0,53,64,0,1,0,89,10,0,17,43,16,35,7,20,9,0,95,38,75,76,0,15,1,86,1,11,3,13,0,2,95,27,13,15,3,11,10,0,45,1,100,91,5,13,0,18,2,19,0,0,9,0,0,11,0,1,0,39,0,7,1,50,0,34,39,129,0,74,0,12,48,50,11,65,0,82,51,4,39,16,0,0,31,13,29,61,28,34,6,31,0,61,102,4,1,4,0,7,1,30,19,8,0,4,1,43
Welsh,268,20,1,0,41,16,707,1,5,156,11,21,106,42,96,20,0,159,0,110,242,52,60,18,565,126,20,133,8,408,144,198,114,348,1,1,5,136,1045,0,0,54,2,477,0,145,221,1,1,0,894,6,15,2,3,60,2,0,573,52,6,15,4,56,110,26,1,7,25,47,0,83,15,286,9,8,0,0,0,363,0,706,6,12,38,10,8,256,331,0,17,36,0,5,85,4,66,65,1,132,36,423,10,36,0,0,0,0,10,0,2,731,2,4,13,24,12,1,200,684,24,0,548,2,654,0,18,0,0,0,18,63,0,614,0,2,0,2,398,140,7,4,1,3,827,3,43,134,232,46,0,488,3,26,0,691,74,25,12,28,66,10,15,3,1,3,2,41,8,3,18,469,0,0,0,153,0,49,30,4,2,25,134,1,619,531,13,0,630,63,1,6,0,19,8,4,1,233,141,9,17,139,7,7,1,74,2,220,0,0,119,3,70,23,105,15,0,4,0,914,17,20,0,25,1,700,25,0,81,548,377,0,777,94,24,6,29,18,1066,5,1,110,228,0,117,103,10,314,692,0,590,487,2,1,0,463,13,0,67,163,103,254,19,104,30,0,874,120,535,542,3,71,10,722,4,21,6,77,3,2,941,267,142,22,9,27,29,2,170,19,594,725,5,32,0,152,11,67,4,0,15,1,0,87,0,4,12,319,0,24,6,255,0,168,109,1219,5,540,2,54,241,234,26,261,0,476,177,23,144,30,0,2,230,12,94,383,248,57,21,143,1,290,993,17,10,10,0,22,5,136,242,9,0,14,5,113
Ewe,21,10,0,0,17,2,33,0,0,24,2,14,16,3,2,1,0,12,0,16,19,6,24,2,26,25,2,15,0,24,22,2,20,31,0,0,0,18,45,0,0,4,1,21,0,19,26,0,0,0,41,0,11,0,2,8,0,0,29,0,0,3,0,5,26,2,0,8,8,13,0,16,9,5,9,0,0,0,0,8,0,23,0,0,16,2,8,29,37,0,8,12,0,6,8,1,10,3,0,7,12,31,0,10,0,0,0,0,10,0,0,39,0,0,15,8,8,0,20,38,1,1,35,0,32,0,1,0,0,0,0,6,0,36,0,0,0,0,8,21,8,8,0,0,34,7,3,15,42,21,0,24,2,0,0,40,24,9,2,0,21,8,7,0,0,0,0,14,1,0,8,7,0,0,0,16,0,9,8,0,0,8,14,0,41,28,3,0,24,9,0,6,0,14,6,0,0,23,14,0,12,20,0,9,0,22,0,13,0,0,28,6,1,5,0,2,0,2,0,52,11,1,0,0,1,36,20,0,16,26,26,0,41,4,5,2,3,4,46,0,0,4,7,0,14,15,0,38,29,0,33,37,0,2,0,15,8,0,11,15,25,23,8,30,0,0,42,4,28,35,0,13,0,27,1,12,8,26,1,1,41,22,21,9,2,9,9,0,21,2,15,38,8,8,0,29,6,14,0,0,8,0,0,19,0,0,1,30,0,10,1,26,0,15,2,43,0,40,0,17,7,23,8,19,0,26,20,14,20,6,0,0,6,6,11,27,25,8,2,13,1,34,45,9,0,9,0,8,3,18,29,8,0,2,3,16
Moroccan Arabic,7,4,0,0,5,0,3,1,0,2,0,1,0,2,0,1,1,2,0,2,4,1,2,0,3,3,1,4,1,1,1,2,2,3,0,0,0,0,8,0,0,0,0,1,0,1,3,0,0,1,5,0,0,0,0,2,0,0,7,3,1,1,0,0,1,0,4,0,1,2,0,1,0,0,0,0,0,0,0,1,0,3,0,0,2,0,0,3,2,0,1,0,0,1,6,0,1,1,0,1,1,3,0,3,0,0,0,0,0,1,0,2,0,0,1,0,0,0,3,3,0,0,5,0,5,0,0,0,0,0,0,1,0,2,0,1,0,0,4,2,1,1,2,1,5,0,0,1,5,1,0,6,0,0,0,2,1,1,1,1,2,0,1,0,0,0,0,4,0,1,1,1,0,0,0,2,0,2,0,0,0,1,2,0,7,6,0,0,3,5,2,3,0,0,0,0,0,2,30,0,0,1,0,2,0,4,0,0,0,0,5,1,2,2,3,0,0,0,0,5,2,0,0,1,1,4,9,0,2,1,10,0,4,1,2,0,1,0,5,0,0,1,3,0,4,2,1,2,4,0,2,2,0,0,0,2,0,0,1,3,1,1,1,3,2,0,7,1,2,8,0,1,0,3,1,1,2,2,0,0,4,4,3,1,20,0,1,0,2,0,4,4,1,0,0,3,2,4,0,0,0,0,0,1,0,0,0,2,0,2,0,4,0,1,1,9,0,1,1,1,0,4,1,7,0,4,1,0,2,1,0,0,2,0,0,2,2,0,0,1,0,3,6,0,0,0,0,0,1,3,3,0,0,1,0,3
Kildin Sami,13,6,0,0,14,1,17,0,0,13,1,8,9,3,0,1,0,11,0,11,10,1,6,0,8,15,4,20,0,4,11,0,14,10,0,0,0,11,21,0,0,5,0,7,0,12,10,0,0,0,17,0,9,0,0,14,2,0,23,4,0,2,0,3,7,8,0,0,13,9,0,11,8,4,10,0,0,0,0,5,0,9,1,0,16,2,6,12,14,0,11,13,0,2,9,0,10,2,0,1,14,18,0,9,0,0,0,0,8,0,0,17,2,0,16,11,11,0,13,18,0,1,15,0,26,0,3,0,0,0,5,9,0,16,0,0,0,0,10,10,10,11,0,0,29,8,0,15,17,18,0,17,2,0,0,17,7,11,1,2,21,12,4,0,0,0,0,12,0,0,10,6,0,0,0,11,0,9,15,0,0,11,17,0,25,5,2,0,7,1,0,6,0,9,4,0,0,12,8,0,9,11,0,8,0,16,0,1,0,0,18,5,3,5,2,2,0,0,0,18,11,1,0,0,1,16,21,0,16,9,11,0,19,3,0,2,0,2,21,0,0,1,7,0,16,12,0,17,18,0,7,14,0,2,0,10,9,0,10,16,10,14,11,15,3,0,19,3,13,14,0,15,0,14,4,9,11,14,0,1,17,15,15,9,1,8,12,0,16,0,12,18,9,15,0,12,6,10,0,0,9,0,0,11,0,0,4,23,0,8,0,12,0,10,1,18,0,13,0,13,3,12,12,11,0,17,14,9,12,7,0,0,2,2,9,9,15,10,2,18,0,12,16,9,1,7,1,11,0,12,12,9,0,4,4,7
Tuvinian,51,9,0,0,17,1,59,0,1,29,4,8,17,15,11,26,0,27,0,23,39,8,20,0,34,24,22,39,2,19,22,18,29,37,0,0,1,30,67,0,0,9,0,31,1,28,29,0,0,1,47,1,8,0,0,71,5,0,67,33,1,4,1,10,25,8,1,13,0,12,0,36,8,18,10,1,0,0,0,27,0,36,1,2,25,2,6,28,35,0,34,32,0,2,17,3,14,9,0,13,20,51,0,18,0,0,9,0,8,0,0,48,2,0,16,45,43,0,39,48,1,1,42,0,76,0,9,0,0,0,35,35,1,46,0,1,0,0,58,26,34,17,1,1,52,8,9,33,48,43,0,45,2,0,0,49,12,13,11,28,67,12,6,30,0,0,0,30,0,0,38,25,0,0,0,34,0,18,34,0,0,69,70,0,56,59,4,0,30,7,0,7,0,9,4,0,0,30,31,0,10,40,0,8,0,26,0,34,0,0,38,6,54,10,17,5,0,0,0,59,14,1,0,4,1,48,28,0,34,27,42,0,55,8,2,2,3,2,56,0,0,28,71,0,39,32,2,33,53,0,29,43,0,2,0,60,12,0,50,35,22,36,35,37,20,0,56,37,44,37,0,18,1,46,0,15,12,25,0,2,50,35,18,15,4,11,40,0,77,0,61,66,15,60,0,27,7,19,0,0,12,1,0,16,0,0,3,41,0,9,0,38,0,32,24,78,0,40,0,19,16,40,38,51,0,43,41,10,43,33,0,0,16,3,21,37,33,30,2,39,0,41,51,11,2,8,0,70,0,15,25,9,0,6,4,28
